Sheet,Jurisdiction,Jurisdiction Setting,Jurisdiction Role,HSTM Setting,HSTM Role,Regulation Type,Oversight / Professional Agency,Requirement Level,Authority Level,Citation,Training Topic / Competency Item,Relationship,Purpose,Hours Required,Source URL,Notes / Research Flags
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),Domain 1: Regulatory & Care Setting Orientation,Parent,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Understands that CNA practice in the SNF is governed by a federal regulatory floor under OBRA 1987 and 42 CFR Part 483, with state Nurse Aide Registries and competency evaluation programs operationalizing those federal minimums",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies the federal training, competency evaluation, registry, and 12-hour annual in-service requirements under 42 CFR §§ 483.95(g) and 483.150-160, including the requirement that in-service content cover dementia management and resident abuse prevention",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Describes the CMS State Operations Manual Appendix PP F-Tag framework and identifies the F-Tags most directly tied to CNA practice (F600s abuse/neglect, F676 ADLs, F684 quality of care, F686 skin integrity, F689 accidents/falls, F725-F730 nursing services, F880 infection control)",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),Skill: Applies facility policies and procedures that translate federal CMS requirements and state Nurse Aide Registry rules into shift-level practice,Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Ability: Differentiates between tasks within CNA scope, tasks delegated by a licensed nurse to the CNA, and tasks outside CNA scope, and escalates appropriately when a request falls outside scope",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Domain 2: Resident Rights, Person-Centered Care, and Abuse Prevention",Parent,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Articulates the federal resident rights enumerated at 42 CFR § 483.10, including dignity, self-determination, privacy, freedom from abuse and neglect, grievance access, and participation in care planning",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Knowledge: Identifies the federal definitions of abuse, neglect, exploitation, and misappropriation of resident property at 42 CFR § 483.5, and understands the mandatory reporting timelines and pathways under 42 CFR § 483.12 and section 1150B of the Social Security Act",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
WR CNA_SNF,US,skilled nursing facility,Certified Nursing Assistant (CNA),Skilled Nursing Facility,"Clinical, Non-Medication Dispensing",,,Other Training Reference,Competency,Job Study — Certified Nursing Assistant (CNA) × Skilled Nursing Facility (FINAL),"Skill: Delivers care in a person-centered manner that incorporates resident preferences, cultural considerations, and routines into ADL and care plan execution",Child,Workforce Readiness,,,Source: JobStudy_CNA_SNF_FINAL.docx | Date of Review: May 2026
